1506456684448	1.23	
1506456685456	1.23	
1506456686452	1.23	
1506456687449	1.23	
1506456688451	1.23	
1506456689450	1.23	
1506456690457	1.23	
1506456691464	1.23	
1506456692466	1.23	
1506456693464	1.23	
1506456694464	1.23	
1506456695459	1.23	
1506456696467	1.23	
1506456697468	1.23	
1506456698465	1.23	
1506456699475	1.23	
1506456700473	1.23	
1506456701477	1.23	
1506456702476	1.23	
1506456703483	1.23	
1506456704479	1.23	
1506456705486	1.23	
1506456706488	1.23	
1506456707494	1.23	
1506456708497	1.23	
1506456709499	1.23	
1506456710506	1.23	
1506456711505	1.23	
1506456712508	1.23	
1506456713513	1.23	
1506456714510	1.23	
1506456715509	1.23	
1506456716517	1.23	
1506456717520	1.23	
1506456718522	1.23	
1506456719520	1.23	
1506456720545	1.23	
1506456721552	1.23	
1506456722537	1.23	
1506456723642	1.23	
1506456724556	1.23	
1506456725549	1.23	
1506456726559	1.23	
1506456726559	1.23	
1506456734000	2.95
1506496739134	5.64	
1506500491129	0.51
1506500491121	0.51	
1506507263075	2.64	
1506508353199	0.53	
1506508415307	0.00	
1506508664186	2.85	
1506522650056	2.43	
1506526131049	2.89	
1500	2.71	
